otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735702.075598843,114.144333333333,44.5513333333333,1.37,0,,C,130148,0.12,1.6,2
735702.083001042,114.1785,44.5251666666667,0.12,2.08,,C,130159,0.12,2,2.8
735702.090427199,114.220666666667,44.5578333333333,0.03,1.69,,C,130210,0.15,2.3,3
735702.095992477,114.1525,44.4971666666667,0.8,1.75,,C,130218,0.17,1.9,2.6
735702.098327083,114.1035,44.5188333333333,3.44,1.65,,C,130221,0.16,1.5,3.6
735702.107095255,114.160333333333,44.5228333333333,0.62,1.91,,D,130234,0.19,3.4,4.5
735702.11998287,114.1145,44.5043333333333,0.04,2.26,,C,130252,0.2,2,2.5
735702.163649653,114.102333333333,44.5126666666667,0.08,2.17,,C,130355,0.19,2,2.4
735702.179766088,113.983666666667,44.4113333333333,1.63,1.31,,C,130418,0.16,1.9,4.6
735702.192797222,114.0875,44.4876666666667,2.89,0,,C,130437,0.19,1.4,3.6
735702.200443866,114.154333333333,44.4966666666667,1.25,1.95,,C,130448,0.2,2.4,3.3
735702.215524769,114.110166666667,44.5408333333333,0.31,1.53,,D,130510,0.16,2.6,3.2
735702.284683681,114.165666666667,44.5295,0.03,2.37,,C,130649,0.14,1.7,2.3
735702.299252199,114.071666666667,44.4775,0.65,1.41,,C,130710,0.13,1.8,2.5
735702.325056944,114.158,44.5193333333333,0.31,2.1,,C,130747,0.17,2,2.8
735702.348071528,114.102666666667,44.5105,0.31,2.42,,C,130821,0.19,2,2.7
735702.353285648,114.1,44.4875,0.62,1.87,,D,130828,0.19,2.6,3.5
735702.375135417,114.109833333333,44.49,0.04,1.78,,C,130900,0.12,2.3,3
735702.380460069,114.123666666667,44.5386666666667,0.08,2.32,,C,130907,0.2,2,2.8
735702.409572569,114.123666666667,44.5023333333333,0.31,1.78,,C,130949,0.19,2.2,2.9
735702.448576852,114.102166666667,44.502,0.16,1.94,,C,131045,0.16,1.9,2.4
735702.473036111,114.049,44.4938333333333,1.97,2.36,,C,131120,0.19,1.5,3.7
735702.47725081,114.1455,44.5455,8.08,1.61,,C,131127,0.16,1,1.8
735702.484463079,114.119166666667,44.517,2.27,1.7,,C,131137,0.14,1.4,3.5
735702.501515972,114.185833333333,44.4951666666667,0.04,1.85,,C,131202,0.17,2.3,2.8
735702.543435532,114.155,44.546,1.73,2.12,,C,131302,0.17,1.2,3.5
735702.621069213,114.150833333333,44.5298333333333,0.08,1.72,,C,131453,0.18,2.1,2.7
735702.668326505,114.1245,44.5328333333333,0.51,2.32,,C,131602,0.22,2.2,3.3
735702.711495139,114.159,44.5511666666667,0.02,0,,C,131704,0.17,2.3,3
735702.733701042,114.0765,44.499,0.16,2.07,,C,131736,0.16,2,2.4
735702.737252083,113.974666666667,44.4755,2.01,1.73,,D,131741,0.12,2.6,3.2
735702.842343287,114.134166666667,44.5051666666667,0.16,1.53,,D,132012,0.13,2.8,3.3
735702.860518981,114.1045,44.5038333333333,0.08,2.17,,C,132038,0.19,2.1,2.8
735702.96117662,114.102666666667,44.5,0.08,2.35,,C,132303,0.16,1.9,2.5
735702.974912731,114.079166666667,44.5225,0.06,1.65,,D,132323,0.14,2.8,3.2
735703.018707176,114.1415,44.5265,0.01,1.58,,C,140026,0.14,2.1,2.8
735703.039837384,114.176833333333,44.5288333333333,0.08,1.96,,C,140057,0.16,2,2.9
735703.045928472,114.1625,44.5618333333333,6.5,1.66,,C,140105,0.11,1.1,3.3
735703.133467361,114.106166666667,44.5673333333333,1.9,1.45,,C,140312,0.15,1.5,4.6
735703.158653472,114.121333333333,44.4885,0.16,1.93,,C,140348,0.19,1.9,2.7
735703.161021875,114.114666666667,44.531,0.02,1.95,,C,140351,0.17,2,2.7
735703.208547222,114.135,44.5168333333333,0.02,1.86,,C,140500,0.15,2,2.7
735703.229061343,114.093666666667,44.4981666666667,0.08,1.83,,C,140529,0.18,2,2.7
735703.316764468,114.124666666667,44.5013333333333,0.46,2.48,,C,140735,0.1,1.5,2.2
735703.321209606,114.102,44.5035,0.31,1.81,,D,140742,0.19,3.1,3.5
735703.327656482,114.157333333333,44.5146666666667,1.79,2.19,,C,140751,0.16,1.1,3.3
735703.339105556,114.149,44.512,0.08,1.58,,D,140808,0.17,3,3.6
735703.340184838,114.084166666667,44.5,0.62,1.39,,D,140809,0.18,2.7,3.2
735703.505175,114.126666666667,44.509,0.16,1.6,,C,141207,0.14,2.5,3.1
735703.53690625,114.1535,44.5415,0.08,2.27,,C,141252,0.19,2,2.9
735703.550147222,114.139166666667,44.5116666666667,0.31,1.98,,C,141312,0.19,2.3,3.1
