otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
736941.253977315,111.485666666667,42.6295,6.21,0,,C,30605,0.03,1.7,3.2
736941.257454977,111.474666666667,42.8366666666667,5.01,1.24,,D,30610,0.21,13.9,16.5
736941.258718287,111.4515,42.7635,2.74,1.05,,D,30612,0.12,11.7,15.9
736941.269641204,111.449333333333,42.6316666666667,3.98,2.06,,D,30628,0.06,0.8,12.8
736941.281169792,111.432833333333,42.6408333333333,14.35,0,,D,30644,0.08,4.2,2.2
736941.291758796,111.454666666667,42.6933333333333,4.96,0,,D,30658,0.01,0.9,11.4
736941.299215972,111.475,42.6126666666667,7.83,0,,D,30710,0,3.4,2.6
736941.302173032,111.469166666667,42.6633333333333,1.54,0,,C,30714,0.01,1.9,4.6
736941.325702083,111.464666666667,42.6201666666667,4.94,1.24,,D,30748,0.07,3.3,12.1
736941.328266319,111.456,42.6578333333333,4.98,2.22,,D,30752,0.1,1.1,13
736941.350211227,111.434166666667,42.5886666666667,13.61,0,,D,30824,0.04,2.8,1.6
736941.35254919,111.487,42.697,4.96,1.07,,D,30827,0.09,1.1,11.3
736941.353596065,111.474333333333,42.5996666666667,4.68,1.14,,D,30829,0.02,2.7,1.4
736941.355493403,111.4715,42.6735,5,0.9,,D,30831,0.12,1.2,12
736941.35716088,111.4755,42.6756666666667,0.82,1,,D,30834,0.07,6.5,6.6
736941.361302315,111.468166666667,42.6466666666667,1.98,1.85,,D,30840,0.04,2.2,5.7
736941.441287616,111.41,42.6236666666667,25.47,2.32,,B,31035,0.05,1.2,3.7
736941.474563542,111.476333333333,42.6408333333333,2.18,0,,C,31123,0.07,0.4,13
736941.546415278,111.451166666667,42.6003333333333,7.67,0,,B,31306,0.03,0.8,1.9
736941.580911343,111.435,42.6056666666667,9.92,0,,C,31355,0.07,1.3,1.5
736941.592291898,111.483666666667,42.601,4.76,0,,D,31412,0,8,9.6
736941.612705556,111.463833333333,42.5698333333333,5.58,0,,D,31442,0.01,4.5,8.1
736941.658253356,111.522,42.5728333333333,13.3,0,,D,31547,0.08,6.9,11.3
736941.673575463,111.465666666667,42.6545,4.99,0,,C,31608,0.12,0.6,11.7
736941.700900694,111.437666666667,42.6076666666667,11.19,0,,B,31649,0.08,0.8,1.6
736941.737262616,111.475166666667,42.6183333333333,11.06,0,,B,31741,0.06,0.5,1.2
736941.775538889,111.4595,42.5726666666667,11.09,0,,C,31836,0.02,2.2,1.1
736941.88214375,111.473333333333,42.6668333333333,8.46,0,,C,32110,0.07,0.6,2.3
736941.942500926,111.465166666667,42.6068333333333,9.4,0,,C,32236,0,2.4,3.9
736941.977350116,111.482166666667,42.6143333333333,6.26,0,,C,32325,0.03,1.9,2.7
736942.003771065,111.492666666667,42.7066666666667,1.87,0,,C,40005,0.25,1.5,2.5
736942.025397107,111.493833333333,42.6215,3.74,0,,D,40036,0.02,1.5,11.4
736942.080729861,111.481,42.6356666666667,2.47,1.61,,D,40155,0.15,1,17.2
736942.082303588,111.414666666667,42.5631666666667,2.85,1.64,,D,40158,0.07,0.8,13.2
736942.092469907,110.550833333333,43.3231666666667,5,1.44,,D,40212,0.19,2.7,19.7
736942.093308912,111.549,42.5746666666667,5.64,1.6,,D,40214,0.04,1.8,12.6
736942.095344444,111.132333333333,42.887,4.42,0.89,,D,40216,0.12,1.9,15.9
736942.096998611,111.488,42.6385,7.01,1.8,,D,40219,0.1,1.5,6.9
736942.112109722,111.369333333333,42.5815,28.95,1.84,,D,40241,0.01,6,6.1
736942.118482176,111.4635,42.6005,5.33,1.42,,D,40250,0.01,2.1,11.8
736942.123485069,111.474,42.5648333333333,10.85,1.86,,C,40257,0.09,1.2,1
