otime,lon,lat,depth,horErr,rms,mag
735967.812280093,-114.1451,44.4435,12.8,5,1,0
735967.857175926,-114.15,44.4576,11.7,5.1,0.92,0
735967.859826389,-114.1375,44.4441,12.3,2.7,0.88,0
735967.957233796,-114.137,44.4448,12.6,3,1,0
735968.049050926,-114.1583,44.4651,9.6,3.7,1.32,0
735968.059178241,-114.1421,44.4483,11.7,4.9,1.22,0
735968.077430556,-114.1556,44.4595,10.2,1.1,0.18,0
735968.080497685,-114.1323,44.4376,12.2,5,0.84,0
735968.099340278,-114.1648,44.4566,12.4,4.2,0.88,0
735968.274571759,-114.1493,44.445,10.9,2.3,0.69,0
735968.299548611,-114.153,44.4541,10.7,3,1.15,0
735968.315416667,-114.1761,44.4793,10.5,3.5,1.38,0
735968.35599537,-114.16,44.46,8.7,3.1,1.47,0
735968.449930556,-114.1671,44.464,11.5,4.7,1.36,0
735968.556886574,-114.1742,44.4777,6.12,3.5,0.6,0
735968.691354167,-114.1586,44.4543,10.3,1.4,0.25,0
735968.743784722,-114.13,44.429,12.5,3.1,1.16,0
735968.883958333,-114.1386,44.4548,10.9,2.5,0.71,0
735970.082824074,-114.1555,44.458,9.8,2.7,1.25,0
735970.509918981,-114.1408,44.456,9.3,2.2,1.29,0
735973.62525463,-114.1403,44.4438,13.4,4.8,0.35,0
735974.062997685,-114.1098,44.4551,10.2,4.3,1.07,0
735974.06724537,-114.1101,44.4526,9.7,1.8,1.16,0
735974.936516204,-114.1256,44.4513,13,4.8,1.14,0
735974.942395833,-114.1306,44.4483,12.7,3.4,1.16,0
735975.583958333,-114.1275,44.4546,12.1,0.7,0.22,0
735979.242013889,-114.1376,44.449,12.8,3.5,0.47,0
735979.841331018,-114.118,44.4375,12.6,5.2,0.77,0
735979.868773148,-114.146,44.4435,12,5,0.71,0
735980.188634259,-114.1491,44.4443,13.6,4.5,0.79,0
735985.003854167,-114.7841,44.7733,10.9,3.3,1.21,0
735985.160925926,-114.7896,44.7851,9.1,3.3,0.47,0
735985.191875,-114.7805,44.7773,11.5,3,0.14,0
735985.224594907,-114.7936,44.7791,10.9,3.5,1.35,0
735990.202037037,-114.0488,44.3486,12.8,4.7,1.37,0
735993.950393519,-114.1081,44.4481,11.9,4.2,1.06,0
735993.951724537,-114.119,44.4401,11.3,0.8,0.18,0
736001.791666667,-114.133,44.452,11.3,2.9,1.58,0
736001.82837963,-114.134,44.4475,11.9,4.7,1.01,0
736002.27681713,-114.1373,44.4393,13,3,0.34,0
736003.792199074,-114.0543,44.3521,13.6,4.1,1.54,0
736003.913148148,-114.146,44.4551,13.7,2.5,0.52,0
736004.126805556,-114.0581,44.35,13.8,1.7,0.95,0
736008.567581019,-114.0528,44.3496,13.2,4.4,1.04,0
736027.433206019,-114.1393,44.4555,14.3,4,1.18,0
736028.106053241,-114.1388,44.436,12.3,3.6,0.92,0
736029.961006944,-114.1186,44.4346,10.6,3.1,1.97,0
736035.591539352,-114.1295,44.4358,11.1,3.7,1.55,0
736075.428506944,-114.166,44.4611,12,4.9,0.72,0
736081.9840625,-114.3043,44.5731,7.7,1.9,0.96,0
736082.633449074,-114.3056,44.5678,7.2,4.4,0.88,0
736082.633587963,-114.3118,44.5636,6.2,0.8,0.2,0
736089.93556713,-114.3051,44.5718,7.1,4.4,1.48,0
736102.6409375,-114.1085,44.4344,5.66,2.8,0.62,0
736122.562418981,-114.0792,44.4271,5,2.2,0.59,0
736167.994664352,-114.3293,44.5996,9.1,4,0.98,0
736208.553287037,-114.1246,44.4349,5,3.1,0.37,0
736209.117164352,-114.1022,44.4355,6.03,3,1.14,0
736209.118981482,-114.0883,44.4052,5,1.7,0.59,0
736216.293483796,-114.0465,44.3288,10.14,2.7,0.93,0
736217.890833333,-114.6577,44.3833,7.72,2.2,0.29,0
736225.084722222,-114.123,44.4515,10.26,3.8,1.26,0
736228.554652778,-114.5614,44.5423,5,1.9,0.39,0
736256.823958333,-114.123,44.4035,4.47,3.8,0.7,0
736259.247997685,-114.1168,44.4625,11.02,3.1,0.27,0
736259.911365741,-114.1393,44.4703,6.57,2.8,0.65,0
736262.774247685,-114.2903,44.5962,4.11,3,0.78,0
736306.952800926,-114.2852,44.5457,5,2.2,0.57,0
736306.96369213,-114.2782,44.5528,4.65,1.7,0.54,0
736307.1553125,-114.2743,44.5518,5.41,2.9,0.44,0
736307.276967593,-114.2648,44.5508,6.89,2.3,0.7,0
736308.912881944,-114.2753,44.563,6.33,2.9,0.71,0
736308.918287037,-114.2668,44.5503,7.74,3.2,0.4,0
736309.076770833,-114.2752,44.5503,7.01,3.3,0.36,0
736309.077384259,-114.2752,44.544,6.76,4.2,1.66,0
736309.344293981,-114.265,44.554,7.96,3,0.22,0
736348.270243056,-114.1265,44.4513,7.84,3.6,1.05,0
736352.330914352,-114.5183,44.551,6.17,3.1,0.75,0
736386.302430556,-114.514,44.5548,6.87,2.9,0.62,0
736386.319178241,-114.136,44.6202,6.33,3.6,0.63,0
736388.06224537,-114.1212,44.6168,7.35,3.5,0.65,0
736392.495081019,-114.5239,44.5366,1.05,2.5,1.21,0
736402.149918981,-114.1232,44.6053,9.66,4.4,0.64,0
736504.406655093,-114.1302,44.452,7.49,4.2,1.18,0
736783.361018519,-114.0592,44.392,3.58,4.2,1.01,0
