otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735967.836026736 -113.592166666667 44.404 5 0 D 200069 2.26 5.8 99 4.703
735967.837271296 -114.105 44.4408333333333 5 0 D 200070 0.03 2.1 12.7 4.71
735967.84324375 -114.0525 44.4206666666667 5 0 D 200071 0.21 1.9 21.4 4.689
735967.847931713 -114.0645 44.4978333333333 5 0 D 200072 0.03 4.1 12.8 4.71
735967.847950347 -114.0645 44.5551666666667 5.14 0 D 200073 6.5 57.8 31.4 4.845
735967.852579051 -114.050333333333 44.5035 5 0 D 200074 0.06 12.3 13.6 4.689
735967.853973264 -114.065166666667 44.4908333333333 5 0 D 200075 0.07 4.7 13.7 4.71
735967.853980787 -114.088666666667 44.4581666666667 2.88 0 D 200076 0.35 1.8 3.7 2.752
735967.857177546 -114.147 44.4393333333333 5 0 D 200077 0.18 2.3 19.5 4.71
735967.85984919 -114.004833333333 44.4071666666667 5 0 D 200078 0.4 2.2 35.9 4.724
735967.860049537 -113.3945 45.3818333333333 5 0 D 200079 5.41 33.6 99 4.717
735967.866117361 -114.023666666667 44.427 5 0 D 200080 0.42 2.6 36.9 4.722
735967.880671644 -114.0355 44.5091666666667 5.83 0 D 200081 0.32 2.3 2.4 5.479
735967.881321759 -114.1195 44.4406666666667 5 0 D 200082 0.51 2.6 44.6 4.696
735967.882902662 -113.2545 44.3413333333333 5 0 D 200083 0.64 11.1 54.8 4.703
735967.90363588 -114.017833333333 44.4148333333333 5 0 D 200084 0.18 1.1 19.3 4.722
735967.907404977 -114.128666666667 44.4321666666667 5 0 D 200085 0.18 3.3 19.2 4.689
735967.913710185 -114.105 44.4843333333333 0.8 0 C 200086 0.1 1.8 3.4 0.952
735967.931227778 -114.126 44.4358333333333 5 0 D 200087 0.1 2.9 15.2 4.689
735967.938480787 -114.025666666667 44.3638333333333 5 0 D 200088 0.04 10.2 12.9 4.71
735967.938476389 -114.107 44.4621666666667 6.01 0 D 200089 0.7 2.9 4.9 5.576
735967.94930081 -114.0535 44.5053333333333 5 0 D 200090 0.13 15.5 16.3 4.689
735967.955213773 -114.0405 44.4881666666667 5 0 D 200091 0.45 5.4 39.6 4.732
735967.957311574 -113.591333333333 44.4338333333333 5 0 D 200092 0.33 10.7 30 4.701
735967.957585069 -112.997833333333 44.2355 5 0 D 200093 1.91 14.3 99 4.684
735967.959213194 -114.137 44.4181666666667 5 0 D 200094 0.15 1.9 17.5 4.71
