time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-25T11:37:45.690Z,42.3398333,-111.3355,-0.42,2.05,ml,19,95,0.3888,0.24,uu,uu60297632,2018-09-25T15:58:00.370Z,"3 km WNW of Montpelier, Idaho",earthquake,0.57,1.89,0.118,7,reviewed,uu,uu
2018-09-25T09:08:05.940Z,42.588,-111.4433333,2.65,2.33,ml,20,120,0.3089,0.25,uu,uu60297622,2018-09-25T16:00:06.240Z,"13 km NNW of Georgetown, Idaho",earthquake,0.72,5.6,0.162,7,reviewed,uu,uu
2018-09-22T13:08:04.270Z,42.5803333,-111.1628333,2.85,2.36,ml,21,84,0.1906,0.26,uu,uu60297357,2018-09-24T15:34:27.540Z,"19 km SW of Fairview, Wyoming",earthquake,0.74,4.4,0.19,9,reviewed,uu,uu
2018-09-22T11:40:19.400Z,42.651,-111.4466667,7.14,2.06,ml,20,125,0.2797,0.14,uu,uu60297352,2018-09-24T14:44:41.280Z,"12 km E of Soda Springs, Idaho",earthquake,0.47,1.2,0.219,4,reviewed,uu,uu
2018-09-21T14:45:58.820Z,42.5973333,-111.4336667,1.9,2.25,ml,19,119,0.2977,0.17,uu,uu60297257,2018-09-21T20:26:56.140Z,"13 km NNW of Georgetown, Idaho",earthquake,0.6,5.14,0.151,7,reviewed,uu,uu
2018-09-21T13:34:51.160Z,42.4308333,-111.5076667,11.02,3.21,ml,21,117,0.3743,0.17,uu,uu60297227,2018-11-27T15:52:01.040Z,"12 km WSW of Georgetown, Idaho",earthquake,0.43,0.66,0.107,24,reviewed,uu,uu
2018-09-21T13:00:05.820Z,42.4355,-111.532,3.91,2.32,ml,19,120,0.3688,0.17,uu,uu60297217,2018-09-24T20:22:11.220Z,"14 km WSW of Georgetown, Idaho",earthquake,0.7,0.84,0.126,10,reviewed,uu,uu
2018-09-21T10:06:29.750Z,42.432,-111.517,-0.11,2.25,ml,22,117,0.3716,0.25,uu,uu60297137,2018-09-21T22:42:24.410Z,"13 km WSW of Georgetown, Idaho",earthquake,0.65,2.57,0.138,10,reviewed,uu,uu
2018-09-21T09:07:26.080Z,42.434,-111.5096667,6.61,2.49,ml,20,117,0.3762,0.21,uu,uu60297112,2018-11-27T15:52:01.040Z,"12 km WSW of Georgetown, Idaho",earthquake,0.62,0.73,0.099,13,reviewed,uu,uu
2018-09-21T08:39:38.360Z,42.4528333,-111.5408333,8.11,2.6,ml,19,122,0.3808,0.2,uu,uu60016484,2018-11-27T15:52:01.040Z,"14 km WSW of Georgetown, Idaho",earthquake,0.71,1.04,0.102,14,reviewed,uu,uu
2018-09-21T08:39:16.380Z,42.4438333,-111.5393333,6.48,2.03,ml,20,134,0.3734,0.21,uu,uu60297097,2018-09-21T19:42:44.670Z,"14 km WSW of Georgetown, Idaho",earthquake,0.78,0.63,0.295,5,reviewed,uu,uu
2018-09-18T09:22:31.190Z,42.5869,-111.1523,6.23,3.3,ml,,53,0.182,0.61,us,us2000hgat,2018-11-27T15:51:58.040Z,"17 km SW of Fairview, Wyoming",earthquake,1.6,6.3,0.036,104,reviewed,us,us
2018-09-08T21:22:23.560Z,42.6355,-111.4818,10.21,3,ml,,50,0.305,0.43,us,us2000hb70,2018-11-09T21:53:54.040Z,"10 km ESE of Soda Springs, Idaho",earthquake,2.1,11.2,0.046,62,reviewed,us,us
2018-08-28T00:28:45.640Z,42.613,-111.4423333,1.5,2.12,ml,17,125,0.2945,0.14,uu,uu60294647,2018-08-28T14:47:45.940Z,"14 km ESE of Soda Springs, Idaho",earthquake,0.6,3.92,0.167,9,reviewed,uu,uu
2018-08-24T21:39:41.510Z,42.5006667,-111.411,7.55,2.38,ml,12,152,0.3501,0.12,uu,uu60294427,2018-08-26T03:15:02.200Z,"3 km WNW of Georgetown, Idaho",earthquake,0.66,1.32,0.168,4,reviewed,uu,uu
2018-08-23T19:43:18.330Z,42.7513,-111.5771,10,2.4,ml,,75,0.351,0.97,us,us1000gg94,2018-11-01T17:50:56.040Z,"11 km NNE of Soda Springs, Idaho",earthquake,3.6,2,0.062,34,reviewed,us,us
2018-08-23T19:41:47.830Z,42.6805,-111.4214,6.68,2.6,ml,,47,0.251,0.92,us,us1000gg8d,2018-11-14T22:08:27.730Z,"15 km E of Soda Springs, Idaho",earthquake,2.5,3.8,0.044,69,reviewed,us,us
2018-08-23T15:04:29.670Z,42.685,-111.4755,9.41,2.49,ml,10,197,0.2878,0.19,uu,uu60294272,2018-08-23T19:49:14.580Z,"11 km ENE of Soda Springs, Idaho",earthquake,1.35,1.93,0.284,4,reviewed,uu,uu
2018-08-23T11:48:58.490Z,42.454,-111.4576667,-2.82,2.22,ml,11,124,0.4079,0.22,uu,uu60294262,2018-08-23T21:28:46.100Z,"7 km WSW of Georgetown, Idaho",earthquake,1.71,2.71,0.221,7,reviewed,uu,uu
2018-08-22T16:22:23.510Z,42.6895,-111.4498,5,2.6,ml,,59,0.268,0.47,us,us1000gfge,2018-11-01T17:50:54.040Z,"13 km ENE of Soda Springs, Idaho",earthquake,1.1,2,0.051,50,reviewed,us,us
2018-08-14T01:43:28.880Z,42.6106667,-111.431,8.94,2.12,ml,14,84,0.2887,0.22,uu,uu60292732,2018-08-14T18:06:11.280Z,"southern Idaho",earthquake,0.75,1.94,0.483,3,reviewed,uu,uu
2018-08-12T01:04:18.520Z,42.6131667,-111.436,8.86,2.12,ml,18,125,0.2905,0.25,uu,uu60292577,2018-08-13T14:45:12.820Z,"14 km ESE of Soda Springs, Idaho",earthquake,0.81,1.95,0.128,6,reviewed,uu,uu
2018-07-19T05:23:16.300Z,42.5521667,-111.4321667,7.58,2.13,ml,14,112,0.08855,0.11,uu,uu60289302,2018-07-19T19:02:26.200Z,"9 km NNW of Georgetown, Idaho",earthquake,0.59,1.1,0.198,9,reviewed,uu,uu
2018-07-17T02:36:41.520Z,42.424,-111.5326667,13.66,2.7,ml,15,95,0.1318,0.09,uu,uu60289047,2018-10-04T14:15:29.040Z,"14 km WSW of Georgetown, Idaho",earthquake,0.48,0.61,0.142,2,reviewed,uu,uu
2018-07-03T12:19:43.250Z,42.654,-111.4745,5,2.8,ml,,35,0.095,1.05,us,us2000fvth,2018-09-27T14:03:39.040Z,"10 km E of Soda Springs, Idaho",earthquake,1.9,2,0.037,98,reviewed,us,us
2018-06-07T06:16:45.820Z,42.6483333,-111.4416667,-1.81,2.33,ml,18,98,0.1195,0.18,uu,uu60285037,2018-06-07T14:28:26.080Z,"13 km E of Soda Springs, Idaho",earthquake,0.4,1.1,0.11,12,reviewed,uu,uu
2018-05-30T03:28:11.220Z,42.6666,-111.4583,5,3.3,ml,,50,0.107,0.72,us,us1000eef3,2018-08-28T16:28:33.040Z,"12 km E of Soda Springs, Idaho",earthquake,1.8,1.8,0.038,92,reviewed,us,us
2018-05-14T15:10:10.780Z,42.62,-111.4768333,-1.96,2.01,ml,14,88,0.1002,0.16,uu,uu60281877,2018-05-14T17:25:38.820Z,"11 km ESE of Soda Springs, Idaho",earthquake,0.42,1.08,0.289,3,reviewed,uu,uu
2018-05-10T06:08:51.460Z,42.6523333,-111.4058333,-2.23,2.26,ml,18,108,0.1457,0.14,uu,uu60280962,2018-05-10T14:56:04.590Z,"16 km E of Soda Springs, Idaho",earthquake,0.37,1.04,0.063,7,reviewed,uu,uu
2018-05-09T12:01:54.360Z,42.6795,-111.4282,5.25,2.6,ml,,82,0.131,0.37,us,us1000e1ay,2018-08-08T15:19:47.040Z,"14 km E of Soda Springs, Idaho",earthquake,1.6,4.6,0.062,34,reviewed,us,us
2018-05-04T19:07:34.790Z,42.6053333,-111.4286667,-1.26,2.03,ml,14,119,0.1358,0.21,uu,uu60280422,2018-05-07T21:17:46.140Z,"14 km NNW of Georgetown, Idaho",earthquake,0.71,1.96,0.186,2,reviewed,uu,uu
2018-04-28T10:43:58.650Z,42.556,-111.4183333,5.8,2.24,ml,15,107,0.08712,0.18,uu,uu60279902,2018-04-29T20:41:30.220Z,"9 km NNW of Georgetown, Idaho",earthquake,0.47,0.87,0.173,2,reviewed,uu,uu
2018-04-28T10:21:25.840Z,42.5631,-111.4335,5,2.9,ml,,54,0.098,0.37,us,us1000dtwp,2018-07-25T21:37:39.040Z,"10 km NNW of Georgetown, Idaho",earthquake,1.1,1.9,0.044,68,reviewed,us,us
2018-04-27T14:38:20.550Z,42.6075,-111.4412,7.9,2.4,ml,,63,0.129,0.32,us,us1000dtcl,2018-07-25T21:37:24.040Z,"14 km ESE of Soda Springs, Idaho",earthquake,1,3,0.05,52,reviewed,us,us
2018-04-24T22:46:54.820Z,42.558,-111.426,2.53,2.14,ml,12,103,0.09139,0.14,uu,uu60279522,2018-04-26T19:20:48.630Z,"9 km NNW of Georgetown, Idaho",earthquake,0.64,1.79,0.2,5,reviewed,uu,uu
2018-04-24T21:33:50.380Z,42.5656,-111.4345,6.29,2.5,ml,,53,0.101,0.39,us,us1000drla,2018-07-25T21:36:30.040Z,"10 km NNW of Georgetown, Idaho",earthquake,1.4,6.4,0.06,37,reviewed,us,us
2018-04-24T18:54:47.950Z,42.5605,-111.4153333,5.88,2.32,ml,20,109,0.09037,0.14,uu,uu60279457,2018-04-24T20:04:46.670Z,"9 km NNW of Georgetown, Idaho",earthquake,0.4,0.69,0.187,6,reviewed,uu,uu
2018-04-19T23:00:19.740Z,42.6736667,-111.4565,8.47,2.21,ml,17,112,0.1095,0.25,uu,uu60279172,2018-04-20T17:49:03.320Z,"12 km E of Soda Springs, Idaho",earthquake,0.83,1.11,0.252,5,reviewed,uu,uu
2018-04-18T18:23:09.490Z,42.5968333,-111.4276667,6.52,2.34,ml,14,106,0.1276,0.14,uu,uu60279027,2018-04-19T14:38:48.450Z,"13 km NNW of Georgetown, Idaho",earthquake,0.45,1.18,0.314,6,reviewed,uu,uu
2018-04-16T15:43:02.920Z,42.5944,-111.5006,11.4,2.4,ml,,70,0.098,0.87,us,us2000e12z,2018-07-17T02:05:27.040Z,"10 km SE of Soda Springs, Idaho",earthquake,2.8,6.8,0.064,32,reviewed,us,us
2018-04-12T15:33:21.570Z,42.5608333,-111.4068333,8.1,2.27,ml,18,114,0.08852,0.13,uu,uu60277887,2018-04-12T16:00:34.090Z,"9 km NNW of Georgetown, Idaho",earthquake,0.36,0.64,0.058,4,reviewed,uu,uu
2018-04-10T06:46:56.180Z,42.5576667,-111.4191667,3.59,2.03,ml,19,107,0.08889,0.16,uu,uu60276977,2018-04-10T15:42:36.300Z,"9 km NNW of Georgetown, Idaho",earthquake,0.43,0.93,0.238,5,reviewed,uu,uu
2018-04-10T05:54:17.730Z,42.5546667,-111.4153333,4.53,2.02,ml,17,116,0.085,0.11,uu,uu60276972,2018-04-10T15:22:30.360Z,"8 km NNW of Georgetown, Idaho",earthquake,0.48,0.73,0.224,4,reviewed,uu,uu
2018-04-07T11:18:11.920Z,42.5811667,-111.4186667,7.84,2.09,ml,14,117,0.1106,0.15,uu,uu60276707,2018-04-08T23:12:30.240Z,"11 km NNW of Georgetown, Idaho",earthquake,0.87,1.46,0.045,2,reviewed,uu,uu
2018-04-07T07:22:58.620Z,42.5828,-111.4384,8.23,3.4,ml,,56,0.117,0.37,us,us2000dvxy,2018-06-30T01:11:32.040Z,"12 km NNW of Georgetown, Idaho",earthquake,1.5,10.4,0.041,78,reviewed,us,us
2018-03-26T17:28:55.030Z,42.6416667,-111.4478333,6.95,2.34,ml,16,85,0.1156,0.14,uu,uu60275327,2018-03-26T21:11:18.940Z,"12 km E of Soda Springs, Idaho",earthquake,0.36,0.85,0.166,4,reviewed,uu,uu
2018-03-03T01:05:59.370Z,42.6587,-111.4938,10,2.5,ml,,72,0.08,0.43,us,us2000dbj5,2018-05-27T01:06:10.040Z,"9 km E of Soda Springs, Idaho",earthquake,2,1.9,0.052,48,reviewed,us,us
2018-02-26T00:03:38.630Z,42.5974,-111.4645,5,2.5,ml,,71,0.118,0.5,us,us2000d7ve,2018-05-27T01:06:00.040Z,"13 km ESE of Soda Springs, Idaho",earthquake,2.1,1.9,0.048,56,reviewed,us,us
2018-02-22T08:49:42.700Z,42.5848,-111.4597,10,2.9,ml,,72,0.127,0.53,us,us2000d6fn,2018-05-22T02:00:22.040Z,"13 km NNW of Georgetown, Idaho",earthquake,1.3,2,0.077,22,reviewed,us,us
2018-02-19T16:27:52.910Z,42.5721667,-111.4648333,1.05,2.06,ml,10,135,0.1187,0.1,uu,uu60271032,2018-02-20T19:24:02.580Z,"12 km NW of Georgetown, Idaho",earthquake,0.55,2.93,0.132,3,reviewed,uu,uu
